,,,,,,,,,,
,,,,,,,,,,
category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
2674,Красота и уходАроматерапияЭфирные масла,Красота и уход,Ароматерапия,Эфирные масла,,,,20%,20%,20%
2676,Красота и уходДля мужчинДля волосБальзамы и кондиционеры для волос,Красота и уход,Для мужчин,Для волос,Бальзамы и кондиционеры для волос,,,20%,20%,20%
2677,Красота и уходДля мужчинДля волосШампуни для волос,Красота и уход,Для мужчин,Для волос,Шампуни для волос,,,20%,20%,20%
2678,Красота и уходДля мужчинДля волосСыворотки для волос,Красота и уход,Для мужчин,Для волос,Сыворотки для волос,,,20%,20%,20%
2680,Красота и уходДля мужчинДля бритьяАксессуары для бритьяРасчески для бороды и усов,Красота и уход,Для мужчин,Для бритья,Аксессуары для бритья,Расчески для бороды и усов,,20%,20%,20%
2681,Красота и уходДля мужчинДля бороды и усовБальзамы для бороды и усов,Красота и уход,Для мужчин,Для бороды и усов,Бальзамы для бороды и усов,,,20%,20%,20%
2682,Красота и уходДля мужчинДля бритьяСредства после бритьяБальзамы после бритья,Красота и уход,Для мужчин,Для бритья,Средства после бритья,Бальзамы после бритья,,20%,20%,20%
2683,Красота и уходДля мужчинДля бритьяСредства после бритьяЛосьоны после бритья,Красота и уход,Для мужчин,Для бритья,Средства после бритья,Лосьоны после бритья,,20%,20%,20%
2684,Красота и уходДля мужчинУход за теломКремы для тела,Красота и уход,Для мужчин,Уход за телом,Кремы для тела,,,20%,20%,20%
2685,Красота и уходДля мужчинМужская парфюмерияОдеколоны,Красота и уход,Для мужчин,Мужская парфюмерия,Одеколоны,,,20%,20%,20%
2686,Красота и уходДля мужчинУход за лицомЭмульсии и флюиды,Красота и уход,Для мужчин,Уход за лицом,Эмульсии и флюиды,,,20%,20%,20%
2687,Красота и уходДля мужчинУход за лицомСыворотки,Красота и уход,Для мужчин,Уход за лицом,Сыворотки,,,20%,20%,20%
2688,Красота и уходДля мужчинУход за лицомСкрабы и пилинги,Красота и уход,Для мужчин,Уход за лицом,Скрабы и пилинги,,,20%,20%,20%
2689,Детские товарыГигиена и подгузникиДетская косметикаДетская декоративная косметикаНаборы декоративной косметики,Детские товары,Гигиена и подгузники,Детская косметика,Детская декоративная косметика,Наборы декоративной косметики,,20%,20%,20%
